Problem Size,Direct Sum,Vector Sum,Indirect Sum
8388608,6990.506667,4699.500280,1165.624085
16777216,6990.506667,5639.400336,1391.145605
33554432,7019.755649,5305.048538,652.6406639
67108864,7019.755649,5772.805505,223.9002113
134217728,7016.086147,6176.609664,479.1493830
268435456,7019.755649,6287.280853,191.1965223
